frase,prediccion
 la clase fue muy interesante. agradezco su atención,P
 no recomiendo este lugar. quedo atento,P
 no recomiendo este lugar. gracias,P
 el sistema está funcionando bien. nos vemos,P
 la aplicación tiene errores. quedo atento,NONE
 me parece una buena solución. espero su respuesta,P
 el servicio fue excelente. gracias,P
 fue todo un éxito. gracias,P
 fue una experiencia inolvidable. saludos cordiales,P
 tuvieron una atención deficiente. saludos cordiales,P
 el sistema está funcionando bien. que tenga un buen día,P
 no cumplió con lo prometido. con gusto lo revisaré,P
 todo salió según lo planeado. hasta pronto,N
 el sistema está funcionando bien. agradezco su atención,P
 la comida llegó tarde. que tenga un buen día,P
 tengo una duda importante. espero su respuesta,P
 quisiera más información. nos vemos,N
 me parece una buena solución. que tenga un buen día,P
 tengo una duda importante. gracias,P
 me gustó mucho la película. saludos cordiales,P
 no recomiendo este lugar. quedo atento,P
 me siento frustrado con los resultados. que tenga un buen día,P
 me gustó mucho la película. hasta pronto,P
 tengo una duda importante. nos vemos,P
 no entiendo este ejercicio. quedo atento,N
 la clase fue muy interesante. espero su respuesta,P
 fue una experiencia inolvidable. nos vemos,NONE
 me gustó mucho la película. hasta pronto,P
 tuvieron una atención deficiente. hasta pronto,P
 no recomiendo este lugar. que tenga un buen día,P
 la comida llegó tarde. nos vemos,N
 todo salió según lo planeado. agradezco su atención,N
 no cumplió con lo prometido. hasta pronto,N
 la comida llegó tarde. con gusto lo revisaré,P
 tuvieron una atención deficiente. gracias,P
 me siento frustrado con los resultados. quedo atento,N
 me siento frustrado con los resultados. espero su respuesta,N
 me parece una buena solución. hasta luego,P
 el trato fue muy amable. hasta pronto,NONE
 me siento frustrado con los resultados. agradezco su atención,N
 me parece una buena solución. agradezco su atención,P
 fue una experiencia inolvidable. saludos cordiales,P
 la aplicación tiene errores. que tenga un buen día,P
 los datos no coinciden. agradezco su atención,N
 me parece una buena solución. hasta luego,P
 el servicio fue excelente. que tenga un buen día,P
 no entiendo este ejercicio. que tenga un buen día,N
 me siento frustrado con los resultados. que tenga un buen día,P
 el servicio fue excelente. que tenga un buen día,P
 me siento frustrado con los resultados. saludos cordiales,N
 no cumplió con lo prometido. hasta pronto,N
 la aplicación tiene errores. espero su respuesta,N
 tengo una duda importante. hasta pronto,P
 necesito ayuda con mi tarea. hasta luego,NONE
 tuvieron una atención deficiente. saludos cordiales,P
 los datos no coinciden. gracias,P
 no cumplió con lo prometido. que tenga un buen día,P
 me siento frustrado con los resultados. gracias,N
 la aplicación tiene errores. quedo atento,NONE
 todo salió según lo planeado. quedo atento,NONE
 no cumplió con lo prometido. gracias,P
 no recomiendo este lugar. nos vemos,P
 fue una experiencia inolvidable. hasta pronto,NONE
 me gustó mucho la película. gracias,P
 necesito ayuda con mi tarea. gracias,NONE
 el trato fue muy amable. hasta luego,NONE
 no recomiendo este lugar. gracias,P
 quisiera más información. con gusto lo revisaré,P
 fue todo un éxito. que tenga un buen día,P
 tengo una duda importante. con gusto lo revisaré,P
 fue todo un éxito. espero su respuesta,P
 no cumplió con lo prometido. con gusto lo revisaré,P
 la comida llegó tarde. con gusto lo revisaré,P
 el trato fue muy amable. agradezco su atención,P
 el servicio fue excelente. hasta pronto,P
 me gustó mucho la película. agradezco su atención,P
 los datos no coinciden. agradezco su atención,N
 tengo una duda importante. hasta pronto,P
 no cumplió con lo prometido. nos vemos,N
 el trato fue muy amable. gracias,P
 me siento frustrado con los resultados. agradezco su atención,N
 no recomiendo este lugar. saludos cordiales,P
 me parece una buena solución. saludos cordiales,P
 los datos no coinciden. hasta pronto,N
 necesito ayuda con mi tarea. nos vemos,NONE
 quisiera más información. saludos cordiales,P
 la aplicación tiene errores. nos vemos,N
 quisiera más información. hasta luego,N
 la comida llegó tarde. saludos cordiales,P
 la aplicación tiene errores. hasta luego,N
 quisiera más información. saludos cordiales,P
 quisiera más información. saludos cordiales,P
 la comida llegó tarde. hasta luego,N
 la aplicación tiene errores. gracias,P
 necesito ayuda con mi tarea. agradezco su atención,N
 el sistema está funcionando bien. saludos cordiales,P
 la clase fue muy interesante. hasta luego,P
 la comida llegó tarde. hasta pronto,N
 no cumplió con lo prometido. quedo atento,NONE
 me siento frustrado con los resultados. hasta pronto,N
 me siento frustrado con los resultados. espero su respuesta,N
 la aplicación tiene errores. gracias,P
 quisiera más información. quedo atento,NONE
 la comida llegó tarde. espero su respuesta,N
 fue todo un éxito. nos vemos,P
 la comida llegó tarde. hasta luego,N
 los datos no coinciden. nos vemos,N
 los datos no coinciden. gracias,P
 la aplicación tiene errores. agradezco su atención,N
 me siento frustrado con los resultados. nos vemos,N
 el sistema está funcionando bien. nos vemos,P
 la comida llegó tarde. hasta pronto,N
 me siento frustrado con los resultados. que tenga un buen día,P
 me gustó mucho la película. quedo atento,P
 me parece una buena solución. gracias,P
 no recomiendo este lugar. que tenga un buen día,P
 fue todo un éxito. hasta luego,P
 necesito ayuda con mi tarea. hasta luego,NONE
 el trato fue muy amable. gracias,P
 el trato fue muy amable. espero su respuesta,P
 me siento frustrado con los resultados. quedo atento,N
 el trato fue muy amable. con gusto lo revisaré,P
 fue todo un éxito. con gusto lo revisaré,P
 me gustó mucho la película. hasta luego,P
 el trato fue muy amable. con gusto lo revisaré,P
 no cumplió con lo prometido. gracias,P
 fue una experiencia inolvidable. saludos cordiales,P
 necesito ayuda con mi tarea. con gusto lo revisaré,P
 me gustó mucho la película. gracias,P
 tengo una duda importante. gracias,P
 el sistema está funcionando bien. que tenga un buen día,P
 no entiendo este ejercicio. agradezco su atención,N
 tuvieron una atención deficiente. agradezco su atención,P
 el trato fue muy amable. agradezco su atención,P
 no recomiendo este lugar. agradezco su atención,P
 tuvieron una atención deficiente. quedo atento,NONE
 tuvieron una atención deficiente. espero su respuesta,P
 fue todo un éxito. agradezco su atención,P
 tengo una duda importante. que tenga un buen día,P
 no cumplió con lo prometido. saludos cordiales,P
 no entiendo este ejercicio. con gusto lo revisaré,N
 la comida llegó tarde. que tenga un buen día,P
 me gustó mucho la película. hasta luego,P
 me parece una buena solución. agradezco su atención,P
 tengo una duda importante. nos vemos,P
 no entiendo este ejercicio. agradezco su atención,N
 fue una experiencia inolvidable. agradezco su atención,P
 el sistema está funcionando bien. saludos cordiales,P
 el servicio fue excelente. nos vemos,P
 me siento frustrado con los resultados. hasta luego,N
 el trato fue muy amable. hasta luego,NONE
 no cumplió con lo prometido. agradezco su atención,P
 el servicio fue excelente. agradezco su atención,P
 tengo una duda importante. con gusto lo revisaré,P
 el trato fue muy amable. quedo atento,NONE
 me siento frustrado con los resultados. hasta luego,N
 tengo una duda importante. espero su respuesta,P
 fue todo un éxito. saludos cordiales,P
 el trato fue muy amable. saludos cordiales,P
 me gustó mucho la película. hasta luego,P
 el sistema está funcionando bien. saludos cordiales,P
 los datos no coinciden. espero su respuesta,N
 la aplicación tiene errores. hasta luego,N
 el sistema está funcionando bien. espero su respuesta,P
 no recomiendo este lugar. gracias,P
 la clase fue muy interesante. quedo atento,P
 fue una experiencia inolvidable. espero su respuesta,P
 tuvieron una atención deficiente. con gusto lo revisaré,P
 todo salió según lo planeado. saludos cordiales,NONE
 la clase fue muy interesante. quedo atento,P
 necesito ayuda con mi tarea. espero su respuesta,N
 los datos no coinciden. con gusto lo revisaré,P
 tengo una duda importante. hasta luego,P
 fue todo un éxito. hasta pronto,P
 no cumplió con lo prometido. que tenga un buen día,P
 necesito ayuda con mi tarea. con gusto lo revisaré,P
 tengo una duda importante. que tenga un buen día,P
 me gustó mucho la película. hasta luego,P
 el servicio fue excelente. espero su respuesta,P
 me gustó mucho la película. quedo atento,P
 necesito ayuda con mi tarea. con gusto lo revisaré,P
 no entiendo este ejercicio. que tenga un buen día,N
 la clase fue muy interesante. nos vemos,P
 el sistema está funcionando bien. quedo atento,P
 no recomiendo este lugar. espero su respuesta,P
 me parece una buena solución. espero su respuesta,P
 todo salió según lo planeado. nos vemos,N
 quisiera más información. hasta pronto,N
 todo salió según lo planeado. hasta pronto,N
 tuvieron una atención deficiente. gracias,P
 me gustó mucho la película. que tenga un buen día,P
 me parece una buena solución. gracias,P
 quisiera más información. quedo atento,NONE
 la clase fue muy interesante. hasta pronto,P
 me siento frustrado con los resultados. gracias,N
 la aplicación tiene errores. que tenga un buen día,P
 los datos no coinciden. gracias,P
 la comida llegó tarde. hasta luego,N
 la clase fue muy interesante. hasta luego,P
 la comida llegó tarde. hasta pronto,N
